Singular,Plural,Gloss,Sing-Pattern,Plur-Pattern,Plural-type,suffix,prefix
Sora,Sowar,picture,CVCV,CVCVC,broken,,
muhimma,mahamm,mission,CVCVCCV,CVCVCC,broken,,
madda,mawadd,subjects,CVCCV,CVCVCC,broken,,
dalil,ʔadilla,proof,CVCVC,CVCVCCV,broken,a,
ʔuʁniyya,ʔaʁani,song,CVCCVCCV,CVCVCV,broken,,
Daħiyya,Daħaya,victim,CVCVCCV,CVCVCV,broken,,
dubb,dibaba,bear,CVCC,CVCVCV,broken,a,
ʔard,ʔaradi,land,CVCC,CVCVCV,broken,,
faqir,fuqara,poor,CVCVC,CVCVCV,broken,,
raʔis,ruʔasa,president,CVCVC,CVCVCV,broken,,
safir,sufara,ambassador,CVCVC,CVCVCV,broken,,
ʃahid,ʃuhada,martyr,CVCVC,CVCVCV,broken,,
ʃaʕir,ʃuʕara,poet,CVCVC,CVCVCV,broken,,
Talib,Talaba,student,CVCVC,CVCVCV,broken,a,
wakil,wukala,prosecutor,CVCVC,CVCVCV,broken,,
wazir,wuzara,minister,CVCVC,CVCVCV,broken,,
taniya,tawani,second,CVCVCV,CVCVCV,broken,,
xaliya,xalaya,cell,CVCVCV,CVCVCV,broken,,
zawiya,zawaya,angle,CVCVCV,CVCVCV,broken,,
Dʕif,Duʕafa,weak,CCVC,CVCVCV,broken,,
məʕna,maʕani,sense,CəCCV,CVCVCV,broken,,
fil,fiyala,elephant,CVC,CVCVCV,broken,a,
nadi,nawadi,club,CVCV,CVCVCV,broken,,
mərʒiʕ,maraʒiʕ,reference,CəCCVC,CVCVCVC,broken,,
məwqiʕ,mawaqiʕ,location,CəCCVC,CVCVCVC,broken,,
məwʕid,mawaʕid,appointment,CəCCVC,CVCVCVC,broken,,
məʒlis,maʒalis,assembly,CəCCVC,CVCVCVC,broken,,
məʕriD,maʕariD,exhibition,CəCCVC,CVCVCVC,broken,,
mədbaħa,madabiħ,massacre,CəCCVCV,CVCVCVC,broken,,
mədrasa,madaris,school,CəCCVCV,CVCVCVC,broken,,
məħkama,maħakim,court,CəCCVCV,CVCVCVC,broken,,
mənTaqa,manaTiq,region,CəCCVCV,CVCVCVC,broken,,
mərħala,maraħil,stage,CəCCVCV,CVCVCVC,broken,,
məSlaħa,maSaliħ,interest,CəCCVCV,CVCVCVC,broken,,
məsʔala,masaʔil,issue,CəCCVCV,CVCVCVC,broken,,
məʒzara,maʒazir,massacre,CəCCVCV,CVCVCVC,broken,,
məʕraka,maʕarik,battle,CəCCVCV,CVCVCVC,broken,,
təʒriba,taʒarib,experience,CəCCVCV,CVCVCVC,broken,,
bərnamaʒ,baramiʒ,program,CəCCVCVC,CVCVCVC,broken,,
ʔamr,ʔawamir,command,CVCC,CVCVCVC,broken,,
borkan,barakin,volcano,CVCCVC,CVCVCVC,broken,,
mawqif,mawaqif,attitude,CVCCVC,CVCVCVC,broken,,
miqdar,maqadir,ingredients,CVCCVC,CVCVCVC,broken,,
miʕyar,maʕayir,standard,CVCCVC,CVCVCVC,broken,,
sinʒab,sanaʒib,squirrel,CVCCVC,CVCVCVC,broken,,
timsaħ,tamasiħ,crocodile,CVCCVC,CVCVCVC,broken,,
xuffaʃ,xafafiʃ,bat,CVCCVC,CVCVCVC,broken,,
ʔiħsas,ʔaħasis,feeling,CVCCVC,CVCVCVC,broken,,
ʕoSfor,ʕaSafir,bird,CVCCVC,CVCVCVC,broken,,
ʔuslub,ʔasalib,style,CVCCVC,CVCVCVC,broken,,
mawhiba,mawahib,talent,CVCCVCV,CVCVCVC,broken,,
maʕrifa,maʕarif,knowledge,CVCCVCV,CVCVCVC,broken,,
ʒumʒuma,ʒamaʒim,skull,CVCCVCV,CVCVCVC,broken,,
ʔarmala,ʔaramil,widow,CVCCVCV,CVCVCVC,broken,,
badil,badaʔil,alternative,CVCVC,CVCVCVC,broken,,
Damir,Damaʔir,conscience,CVCVC,CVCVCVC,broken,,
mudir,mudaraʔ,director,CVCVC,CVCVCVC,broken,,
qanat,qanawat,channel,CVCVC,CVCVCVC,broken,,
rabiT,rawabiT,link,CVCVC,CVCVCVC,broken,,
ʃariʕ,ʃawariʕ,avenue,CVCVC,CVCVCVC,broken,,
tarix,tawarix,history,CVCVC,CVCVCVC,broken,,
xabir,xubaraʔ,expert,CVCVC,CVCVCVC,broken,,
ʒanib,ʒawanib,aspect,CVCVC,CVCVCVC,broken,,
ʔadat,ʔadawat,instrument,CVCVC,CVCVCVC,broken,,
ʕalam,ʕawalim,world,CVCVC,CVCVCVC,broken,,
ʕamil,ʕawamil,factor,CVCVC,CVCVCVC,broken,,
ʔamir,ʔumaraʔ,prince,CVCVC,CVCVCVC,broken,,
baxira,bawaxir,ship,CVCVCV,CVCVCVC,broken,,
Dariba,Daraʔib,tax,CVCVCV,CVCVCVC,broken,,
faSila,fawaSil,comma,CVCVCV,CVCVCVC,broken,,
faSila,faSaʔil,species,CVCVCV,CVCVCVC,broken,,
faʔida,fawaʔid,interest,CVCVCV,CVCVCVC,broken,,
ħadita,ħawadit,incident,CVCVCV,CVCVCVC,broken,,
ħaqiqa,ħaqaʔiq,fact,CVCVCV,CVCVCVC,broken,,
kanisa,kanaʔis,church,CVCVCV,CVCVCVC,broken,,
karita,kawarit,disaster,CVCVCV,CVCVCVC,broken,,
laʔiħa,lawaʔiħ,list,CVCVCV,CVCVCVC,broken,,
moSiba,maSaʔib,tragedy,CVCVCV,CVCVCVC,broken,,
naSiħa,naSaʔiħ,advice,CVCVCV,CVCVCVC,broken,,
natiʒa,nataʔiʒ,result,CVCVCV,CVCVCVC,broken,,
qaʕida,qawaʕid,rule,CVCVCV,CVCVCVC,broken,,
risala,rasaʔil,message,CVCVCV,CVCVCVC,broken,,
waDifa,waDaʔif,function,CVCVCV,CVCVCVC,broken,,
watiqa,wataʔiq,document,CVCVCV,CVCVCVC,broken,,
xariTa,xaraʔiT,map,CVCVCV,CVCVCVC,broken,,
ʒarida,ʒaraʔid,newspaper,CVCVCV,CVCVCVC,broken,,
ʒarima,ʒaraʔim,crime,CVCVCV,CVCVCVC,broken,,
ʒaʔiza,ʒawaʔiz,award,CVCVCV,CVCVCVC,broken,,
ʕaSima,ʕawaSim,capital,CVCVCV,CVCVCVC,broken,,
xSara,xasaʔir,loss,CCVCV,CVCVCVC,broken,,
məbləʁ,mabaliʁ,amount,CəCCəC,CVCVCVC,broken,,
məDhər,maDahir,appearance,CəCCəC,CVCVCVC,broken,,
mədxəl,madaxil,entry,CəCCəC,CVCVCVC,broken,,
mənbəʕ,manabiʕ,source,CəCCəC,CVCVCVC,broken,,
mənDər,manaDir,view,CəCCəC,CVCVCVC,broken,,
məqʕəd,maqaʕid,seat,CəCCəC,CVCVCVC,broken,,
mərkəz,marakiz,centre,CəCCəC,CVCVCVC,broken,,
məSDər,maSaDir,reference,CəCCəC,CVCVCVC,broken,,
məʃhəd,maʃahid,scene,CəCCəC,CVCVCVC,broken,,
məsrəħ,masariħ,theater,CəCCəC,CVCVCVC,broken,,
mətħəf,mataħif,museum,CəCCəC,CVCVCVC,broken,,
məʕdən,maʕadin,metal,CəCCəC,CVCVCVC,broken,,
məʕhəd,maʕahid,institute,CəCCəC,CVCVCVC,broken,,
təʕləb,taʕalib,fox,CəCCəC,CVCVCVC,broken,,
dəlfin,dalafin,dolphin,CəCCVC,CVCVCVC,broken,,
məbdeʔ,mabadiʔ,principle,CəCCVC,CVCVCVC,broken,,
mədxul,madaxil,income,CəCCVC,CVCVCVC,broken,,
məfhum,mafahim,notion,CəCCVC,CVCVCVC,broken,,
məSrof,maSarif,expenditure,CəCCVC,CVCVCVC,broken,,
məʃroʕ,maʃariʕ,project,CəCCVC,CVCVCVC,broken,,
məwdoʕ,mawadiʕ,subject,CəCCVC,CVCVCVC,broken,,
məwqif,mawaqif,position,CəCCVC,CVCVCVC,broken,,
məʒmuʕ,maʒamiʕ,sum,CəCCVC,CVCVCVC,broken,,
təfSil,tafaSil,detail,CəCCVC,CVCVCVC,broken,,
təlmid,talamid,student,CəCCVC,CVCVCVC,broken,,
təmrin,tamarin,exercise,CəCCVC,CVCVCVC,broken,,
təqlid,taqalid,tradition,CəCCVC,CVCVCVC,broken,,
təqrir,taqarir,report,CəCCVC,CVCVCVC,broken,,
təʕbir,taʕabir,expression,CəCCVC,CVCVCVC,broken,,
ʒəmhor,ʒamahir,audience,CəCCVC,CVCVCVC,broken,,
qanun,qawanin,law,CVCVC,CVCVCVC,broken,,
ʔustad,ʔasatida,teacher,CVCCVC,CVCVCVCV,broken,a,
firʕawn,faraʕina,pharaoh,CVCCVCC,CVCVCVCV,broken,,
ʕamaliya,ʕamaliyat,operation,CVCVCVCV,CVCVCVCV,sound,at,
mDəbbəb,mDəbbin,foggy,CCəCCəC,CCəCCVC,broken,,
nuqTa,nqaT,rate,CVCCV,CCVC,broken,,
bʁəl,bʁal,mule,CCəC,CCVC,broken,,
fxəD,fxaD,thigh,CCəC,CCVC,broken,,
gərn,gron,corn,CCəC,CCVC,broken,,
ktəf,ktaf,shoulder,CCəC,CCVC,broken,,
ʃkəl,ʃkal,shape,CCəC,CCVC,broken,,
wʃəm,wʃam,tattoo,CCəC,CCVC,broken,,
ʒbəl,ʒbal,mountain,CCəC,CCVC,broken,,
ʒdər,ʒdur,root,CCəC,CCVC,broken,,
ʒməl,ʒmal,camel,CCəC,CCVC,broken,,
ħmar,ħmir,donkey,CCVC,CCVC,broken,,
mriD,mraD,ill,CCVC,CCVC,broken,,
nsib,nsab,family-in-law,CCVC,CCVC,broken,,
ʒdid,ʒdad,new,CCVC,CCVC,broken,,
mdina,mdun,city,CCVCV,CCVC,broken,,
yhudi,yhud,Jewish,CCVCV,CCVC,broken,,
bənt,bnat,girl,CəCC,CCVC,broken,,
dənb,dnub,sin,CəCC,CCVC,broken,,
fəxx,fxax,trap,CəCC,CCVC,broken,,
gəns,gnus,sex,CəCC,CCVC,broken,,
ħədd,ħdud,limit,CəCC,CCVC,broken,,
ħənk,ħnak,cheek,CəCC,CCVC,broken,,
ħərf,ħruf,letter,CəCC,CCVC,broken,,
kəlb,klab,dog,CəCC,CCVC,broken,,
nəfs,nfus,breath,CəCC,CCVC,broken,,
qənt,qnat,corner,CəCC,CCVC,broken,,
qərn,qrun,century,CəCC,CCVC,broken,,
sədd,sdud,dam,CəCC,CCVC,broken,,
Səff,Sfuf,row,CəCC,CCVC,broken,,
təlʒ,tluʒ,snow,CəCC,CCVC,broken,,
wəld,wlad,boy,CəCC,CCVC,broken,,
wəqt,wqat,time,CəCC,CCVC,broken,,
ʒədd,ʒdud,grandfather,CəCC,CCVC,broken,,
ʒəld,ʒlud,skin,CəCC,CCVC,broken,,
ʒənn,ʒnun,demon,CəCC,CCVC,broken,,
ʕəmm,ʕmam,uncle,CəCC,CCVC,broken,,
ʕənq,ʕnaq,neck,CəCC,CCVC,broken,,
ʕərq,ʕruq,race,CəCC,CCVC,broken,,
ʕərʃ,ʕruʃ,branch,CəCC,CCVC,broken,,
ʕəyn,ʕyun,eye,CəCC,CCVC,broken,,
Dəlʕa,Dluʕ,rib,CəCCV,CCVC,broken,,
